Timestamp,Your name,Roll Number,Your school name,Your class,What was your last year overall percentage or CGPA?,How much time do you spend every day on your self study and homework?,Which is your least favourite or toughest subject?,Subject group,Choose Subject Where The Subject Teacher Rating is [Excellent],Choose Subject Where The Subject Teacher Rating is [Very Good],Choose Subject Where The Subject Teacher Rating is [Good],Choose Subject Where The Subject Teacher Rating is [Average],Choose Subject Where The Subject Teacher Rating is [Poor],Do teachers provide enough support for your academic learning and solving queries?,How do you meet your academic learning goal?,How well do teachers give real-world applications or examples in class?,Does your faculty encourage you to ask questions and create an interactive classroom?,Please add your suggestions or concern related to any teacher.,Does your school have sufficient availability of computer or science labs and libraries that enhance your learning experience?,"Are there sufficient resources for extracurricular activities like music, sports, yoga, dancing, art & crafts?","Does your school conduct events that encourage creativity, innovation, and leadership?",How satisfied are you with the transportation facilities provided by school?,Does your school provide career guidance and academic counselling?,Please share any suggestions or concerns about your school facilities.,How well does your school resolve issues of bullying and harassment?,School behaviour towards challenges like late fees or fee concessions?,Do you feel that there is a fair and transparent exam results and paper checking?,Does your school handle academic stress and wellness issues?,Do you think your school adequately prepared you for competitive exams?,How satisfied are you with the overall quality of teaching at the school?,How would you recommend this school to your friends?,Please share any suggestions or concerns about your school.
10/12/2025 09:30:08,Riya Pandey,100011,JNV VARANASI,8 th,5,3-4 Hrs,Chemistry,Commerce,"English, Accountancy","Business Studies, Other","Social Science, Maths","Other, Physics",Science,Agree,Reference or side books,Good,Strongly disagree,"The physics teacher is knowledgeable but often uses very complex language that is difficult for us to understand. I wish the explanations were more simple and included more diagrams and visual aids. Also, connecting physics concepts to everyday life situations would make it much more interesting for students.",Strongly disagree,Very insufficient,Disagree,Very dissatisfied,Neutral,"I believe our school has excellent academic standards, but there is too much pressure on students to perform well in exams. The focus on marks over actual learning creates stress and anxiety among many students including myself. I think the school should promote a more balanced approach to education that values understanding over memorization.",Very well,Negative,Neutral,Poorly,Strongly agree,Not satisfied,1,Better facilities
18/03/2025 06:58:08,Nitin Srivastava,100012,JNV VARANASI,12th,6,<2 Hrs,Other,Maths,"Social Science, Physics","Science, Accountancy","Hindi, Social Science","Maths, IT/CS",English,Strongly agree,School only,Good,Strongly agree,"The accountancy teacher is good at explaining numerical problems, but rushes through theoretical concepts. Many students including me struggle with the theory portion in exams. It would help if equal time was given to both theory and practical numerical problems during class.",Strongly disagree,Sufficient,Agree,Neutral,Agree,Clean washrooms needed,Very well,Strongly positive,Strongly agree,Very well,Strongly agree,Extremely dissatisfied,5,"The school should organize more inter-school competitions and exchange programs. Interacting with students from other schools would broaden our perspectives and help develop important social skills. Currently, we are limited to competing only within our school which limits our exposure."
30/10/2025 09:40:08,Abhishek Chaudhary,100013,JNV VARANASI,10 th,5,More than 4 Hrs,Other,Biology,"Hindi, English","Physics, Science","Science, Biology","Physics, Biology",Other,Disagree,Online coaching,Very poor,Strongly disagree,Need more examples,Neutral,Sufficient,Disagree,Dissatisfied,Strongly disagree,Good overall,Poorly,Positive,Agree,Well,Strongly disagree,Somewhat satisfied,5,"The school should introduce mental health awareness programs and have a full-time counselor available for students. Academic pressure, family issues, and social problems affect many students but there is no proper support system. Regular sessions on stress management and emotional well-being would help everyone."
09/03/2025 22:35:08,Ayush Kapoor,100014,JNV VARANASI,9 th,5,<2 Hrs,English,IT/CS,"Business Studies, IT/CS","Hindi, IT/CS","Hindi, Business Studies","Business Studies, Maths",Biology,Neutral,Internet materials,Excellent,Neutral,Improve punctuality,Disagree,Very sufficient,Disagree,Satisfied,Disagree,"I appreciate the recent addition of smart classrooms with projectors and interactive boards. These have made learning much more engaging and interesting. However, technical issues are common and sometimes entire classes are wasted due to equipment problems. Better maintenance support is needed.",Well,Neutral,Neutral,Very well,Disagree,Somewhat satisfied,1,I suggest implementing a peer tutoring program where academically strong students can help those who are struggling. This would benefit both groups - tutors would reinforce their learning while tutees would get extra help in a comfortable environment from their peers.
07/03/2025 23:45:08,Abhishek Chaudhary,100015,JNV VARANASI,12th,5,2-3 Hrs,Business Studies,IT/CS,"Social Science, Biology","Physics, Economics","Economics, Social Science","Social Science, Maths",Hindi,Agree,Online coaching,Average,Strongly agree,"I appreciate that teachers are always available for doubt solving after class, but I feel that students who are shy don't get enough attention during regular class hours. Maybe teachers could check on quieter students more often to see if they are following the lessons properly.",Strongly agree,Insufficient,Agree,Neutral,Agree,Clean washrooms needed,Adequately,Negative,Agree,Very well,Strongly agree,Somewhat satisfied,5,I suggest implementing a peer tutoring program where academically strong students can help those who are struggling. This would benefit both groups - tutors would reinforce their learning while tutees would get extra help in a comfortable environment from their peers.
19/01/2025 12:29:08,Pooja Srivastava,100016,JNV VARANASI,8 th,7,More than 4 Hrs,IT/CS,Not Applicable,"Accountancy, Maths","Maths, Accountancy","Other, Social Science","IT/CS, Other",Science,Strongly disagree,Coaching from outside faculty,Good,Strongly agree,Need more explanation,Strongly disagree,Neutral,Strongly disagree,Very dissatisfied,Neutral,Good overall,Poorly,Negative,Disagree,Well,Agree,Extremely dissatisfied,4,Everything good
28/02/2025 10:28:08,Priya Mehta,100017,JNV VARANASI,10 th,7,2-3 Hrs,Biology,Biology,"Biology, Social Science","Business Studies, Physics","Hindi, Biology","Accountancy, Chemistry",Social Science,Agree,Online coaching,Very poor,Disagree,Want more doubt sessions,Disagree,Insufficient,Strongly agree,Very satisfied,Strongly disagree,More sports facilities,Adequately,Neutral,Strongly disagree,Very well,Disagree,Somewhat satisfied,1,Improve teaching
29/10/2025 05:26:08,Amit Pandey,100018,JNV VARANASI,8 th,5,More than 4 Hrs,Hindi,Biology,"Physics, Chemistry","Economics, Hindi","Other, Chemistry","English, Accountancy",Maths,Strongly agree,Coaching from existing faculty,Very poor,Strongly agree,"The science teacher makes learning very interesting with experiments and real-life examples. However, I think we need more practical lab sessions to really understand the concepts. Sometimes the theory classes can get boring without any hands-on activities. I suggest having at least two lab sessions per week instead of one.",Strongly agree,Insufficient,Strongly agree,Very satisfied,Agree,No concerns,Adequately,Positive,Strongly disagree,Well,Neutral,Highly satisfied,5,More field trips
10/07/2025 04:28:08,Kavita Tripathi,100019,JNV VARANASI,11th,9,<2 Hrs,Business Studies,Not Applicable,"Accountancy, IT/CS","IT/CS, Business Studies","Hindi, Biology","English, IT/CS",Hindi,Strongly disagree,Online coaching,Poor,Strongly disagree,Need more practice problems,Strongly disagree,Very insufficient,Disagree,Very dissatisfied,Strongly disagree,"Medical facilities in our school need improvement. The medical room is not well-equipped and the nurse is not always available. Given that many students have health issues or emergencies during school hours, having proper first aid facilities and trained staff is very important.",Very poorly,Strongly positive,Disagree,Very poorly,Strongly agree,Highly satisfied,1,No suggestions
17/11/2025 17:13:08,Kunal Mehta,100020,JNV VARANASI,11th,8,2-3 Hrs,English,Biology,"Physics, Social Science","Other, Biology","Social Science, Business Studies","Physics, Other",Science,Strongly disagree,School only,Very poor,Strongly disagree,"The physical education teacher is very encouraging and helps build confidence in sports. However, I feel that students who are not naturally athletic get ignored sometimes. It would be nice if there were activities suitable for all fitness levels, not just competitive sports.",Agree,Sufficient,Neutral,Very satisfied,Strongly agree,Need better labs,Adequately,Positive,Strongly agree,Well,Disagree,Not satisfied,3,More activities
22/10/2025 04:25:08,Amit Bansal,100021,JNV VARANASI,9 th,8,3-4 Hrs,Physics,Commerce,"Maths, English","Accountancy, Maths","Physics, Science","Science, IT/CS",English,Strongly disagree,Coaching from outside faculty,Excellent,Strongly disagree,Want more doubt sessions,Strongly disagree,Very insufficient,Neutral,Very satisfied,Disagree,Good infrastructure,Very poorly,Strongly negative,Neutral,Adequately,Neutral,Satisfied,5,More sports events
08/10/2025 23:17:08,Nitin Bansal,100022,JNV VARANASI,7 th,8,3-4 Hrs,English,Commerce,"Other, Chemistry","Biology, Chemistry","English, Other","Other, Hindi",Business Studies,Strongly agree,Reference or side books,Average,Strongly disagree,Need more examples,Agree,Very sufficient,Strongly disagree,Dissatisfied,Strongly disagree,Good infrastructure,Very well,Neutral,Strongly agree,Very well,Agree,Somewhat satisfied,2,Better facilities
14/07/2025 05:50:08,Vivek Tiwari,100023,JNV VARANASI,8 th,7,3-4 Hrs,IT/CS,Maths,"Chemistry, Science","English, Physics","Science, Other","Biology, Physics",Maths,Neutral,Online coaching,Excellent,Neutral,Teachers are helpful,Agree,Very insufficient,Strongly agree,Dissatisfied,Strongly agree,Good infrastructure,Very poorly,Positive,Strongly disagree,Poorly,Neutral,Extremely dissatisfied,1,More sports events
06/12/2025 03:38:08,Riya Chaudhary,100024,JNV VARANASI,9 th,6,<2 Hrs,Science,Commerce,"Other, Social Science","Physics, Maths","Economics, Hindi","Physics, IT/CS",English,Strongly agree,Reference or side books,Good,Agree,No concerns,Neutral,Neutral,Strongly agree,Dissatisfied,Agree,"I feel that the school timings are too long and exhausting for students. Starting early in the morning and ending late in the afternoon leaves very little time for self-study, hobbies, or rest. Shorter school hours with more efficient teaching could improve both learning and well-being.",Poorly,Strongly positive,Agree,Adequately,Agree,Satisfied,4,"The school library should have extended hours and a more comfortable reading environment. Currently, it closes early and there are not enough seats for students who want to study there. Creating a quiet, well-lit study space with individual desks would benefit many students."
13/02/2025 05:50:08,Kavita Agarwal,100025,JNV VARANASI,10 th,8,2-3 Hrs,IT/CS,Not Applicable,"Business Studies, Other","Other, English","Hindi, Science","Chemistry, Physics",Maths,Strongly agree,School only,Poor,Disagree,Need more examples,Neutral,Neutral,Neutral,Very dissatisfied,Neutral,Improve library,Poorly,Neutral,Disagree,Adequately,Agree,Not satisfied,3,Better facilities
28/12/2024 01:38:08,Deepak Gupta,100026,JNV VARANASI,8 th,7,2-3 Hrs,Physics,Biology,"Business Studies, Physics","Accountancy, Business Studies","Accountancy, Social Science","Accountancy, Social Science",Economics,Strongly disagree,Online coaching,Excellent,Neutral,Teachers are helpful,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,More sports facilities,Very well,Strongly negative,Disagree,Well,Strongly disagree,Highly satisfied,2,More field trips
03/10/2025 09:08:08,Ankit Sharma,100027,JNV VARANASI,11th,6,More than 4 Hrs,Hindi,Commerce,"Economics, Social Science","English, Maths","Science, Business Studies","Biology, Chemistry",Chemistry,Disagree,Coaching from existing faculty,Poor,Agree,Need more examples,Disagree,Sufficient,Strongly agree,Very satisfied,Strongly agree,Improve library,Poorly,Strongly positive,Strongly agree,Very poorly,Disagree,Not satisfied,4,"I suggest having more flexible subject combinations and allowing students to choose electives based on their interests rather than rigid streams. For example, a commerce student interested in psychology should be able to take it as an optional subject without changing their entire stream."
01/10/2025 11:47:08,Arjun Rastogi,100028,JNV VARANASI,7 th,10,2-3 Hrs,Biology,IT/CS,"Physics, Economics","Chemistry, IT/CS","Business Studies, IT/CS","Physics, Chemistry",Hindi,Strongly disagree,Coaching from outside faculty,Excellent,Strongly disagree,"I appreciate how our Hindi teacher explains classical literature and poetry with so much passion. However, the examination pattern focuses too much on rote memorization rather than understanding. It would be better if we could discuss the meanings and interpretations more during class instead of just memorizing answers.",Neutral,Sufficient,Strongly disagree,Very dissatisfied,Strongly agree,"I feel that the school timings are too long and exhausting for students. Starting early in the morning and ending late in the afternoon leaves very little time for self-study, hobbies, or rest. Shorter school hours with more efficient teaching could improve both learning and well-being.",Very poorly,Positive,Agree,Adequately,Strongly disagree,Extremely dissatisfied,3,More sports events
05/02/2025 07:01:08,Nitin Mehta,100029,JNV VARANASI,12th,7,More than 4 Hrs,Business Studies,IT/CS,"Other, Economics","IT/CS, English","Business Studies, IT/CS","Biology, Maths",Physics,Strongly agree,Internet materials,Poor,Neutral,"I appreciate that teachers are always available for doubt solving after class, but I feel that students who are shy don't get enough attention during regular class hours. Maybe teachers could check on quieter students more often to see if they are following the lessons properly.",Agree,Neutral,Neutral,Satisfied,Neutral,Good overall,Adequately,Negative,Strongly agree,Adequately,Disagree,Highly satisfied,5,I suggest implementing a peer tutoring program where academically strong students can help those who are struggling. This would benefit both groups - tutors would reinforce their learning while tutees would get extra help in a comfortable environment from their peers.
21/12/2025 14:16:08,Suresh Yadav,100030,JNV VARANASI,11th,9,<2 Hrs,Maths,Not Applicable,"Physics, IT/CS","Science, Accountancy","Other, Social Science","Hindi, Physics",Hindi,Disagree,Coaching from outside faculty,Poor,Strongly agree,Want more doubt sessions,Strongly disagree,Neutral,Strongly disagree,Very dissatisfied,Strongly disagree,Need better labs,Well,Negative,Agree,Very poorly,Strongly disagree,Highly satisfied,2,More field trips
19/03/2025 16:50:08,Abhishek Saxena,100031,JNV VARANASI,12th,7,More than 4 Hrs,Economics,Maths,"Other, Physics","Other, IT/CS","Business Studies, English","Maths, Science",Hindi,Disagree,Coaching from existing faculty,Average,Disagree,Need more examples,Neutral,Insufficient,Agree,Satisfied,Strongly disagree,"I appreciate that our school organizes various cultural and sports events throughout the year. These activities help us develop skills beyond academics. However, I feel that participation in these events should be encouraged more, as currently only a few talented students get opportunities while others are overlooked.",Very poorly,Neutral,Agree,Adequately,Neutral,Satisfied,3,Better facilities
07/09/2025 17:06:08,Shivam Chaudhary,100032,JNV VARANASI,12th,5,<2 Hrs,Chemistry,Maths,"Economics, Physics","Biology, Chemistry","Chemistry, Accountancy","Business Studies, Chemistry",Biology,Strongly agree,Online coaching,Average,Neutral,Good teaching overall,Strongly disagree,Neutral,Agree,Very satisfied,Agree,Better canteen food needed,Well,Strongly positive,Strongly agree,Well,Strongly agree,Satisfied,2,Everything good
25/08/2025 12:29:08,Ramesh Agarwal,100033,JNV VARANASI,8 th,6,2-3 Hrs,Social Science,Commerce,"Hindi, Business Studies","Science, Physics","Accountancy, Social Science","Science, Business Studies",Social Science,Neutral,Internet materials,Excellent,Agree,Good teaching overall,Strongly disagree,Sufficient,Neutral,Dissatisfied,Agree,No concerns,Very well,Neutral,Strongly agree,Very well,Disagree,Satisfied,3,Improve labs
08/01/2025 17:33:08,Ayush Srivastava,100034,JNV VARANASI,6 th,10,More than 4 Hrs,English,Not Applicable,"Hindi, Other","Chemistry, Biology","Hindi, Chemistry","Maths, Physics",Science,Strongly agree,Internet materials,Excellent,Neutral,"The social science teacher makes history very interesting with stories and anecdotes, but geography classes are quite boring with just reading from the textbook. I think using maps, videos, and interactive tools would make geography more engaging for students like me who find it difficult.",Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,More activities needed,Very poorly,Strongly negative,Strongly disagree,Adequately,Strongly disagree,Extremely dissatisfied,3,Everything good
17/01/2026 22:55:08,Sanjay Verma,100035,JNV VARANASI,8 th,6,<2 Hrs,IT/CS,Biology,"Hindi, Business Studies","Business Studies, Maths","Chemistry, IT/CS","Social Science, Other",Biology,Strongly agree,Coaching from existing faculty,Excellent,Disagree,"I appreciate how our Hindi teacher explains classical literature and poetry with so much passion. However, the examination pattern focuses too much on rote memorization rather than understanding. It would be better if we could discuss the meanings and interpretations more during class instead of just memorizing answers.",Strongly disagree,Sufficient,Strongly disagree,Very dissatisfied,Strongly agree,Clean washrooms needed,Well,Positive,Strongly agree,Poorly,Disagree,Highly satisfied,2,Everything good
27/01/2026 00:21:08,Vivek Malhotra,100036,JNV VARANASI,11th,10,3-4 Hrs,IT/CS,Not Applicable,"Physics, Other","Business Studies, Maths","Hindi, Social Science","Hindi, IT/CS",IT/CS,Agree,Internet materials,Very poor,Strongly agree,Want more doubt sessions,Agree,Insufficient,Strongly agree,Satisfied,Disagree,Need better labs,Well,Negative,Strongly disagree,Poorly,Strongly disagree,Somewhat satisfied,3,Reduce pressure
28/09/2025 19:48:08,Sneha Mishra,100037,JNV VARANASI,10 th,9,3-4 Hrs,Maths,Biology,"Accountancy, English","Business Studies, Maths","Chemistry, Science","Physics, Biology",Social Science,Disagree,Reference or side books,Good,Agree,No concerns,Strongly agree,Neutral,Disagree,Very satisfied,Disagree,"The school infrastructure is quite good with nice classrooms and sports facilities. However, the library is not well-stocked with recent books and study materials. Many reference books are outdated and we have to rely on external sources for competitive exam preparation. Updating the library collection would greatly benefit students.",Very poorly,Neutral,Neutral,Very poorly,Disagree,Satisfied,4,"I strongly suggest that our school should introduce more vocational training and skill development courses alongside regular academics. Subjects like basic coding, financial literacy, communication skills, and practical life skills would prepare us better for the real world. Many students don't want to pursue traditional academic paths and need alternative options."
19/02/2025 16:02:08,Kavita Verma,100038,JNV VARANASI,8 th,7,<2 Hrs,Economics,Commerce,"Physics, Biology","IT/CS, Business Studies","Other, Business Studies","Physics, Other",Economics,Neutral,Coaching from existing faculty,Average,Strongly agree,Need more practice problems,Strongly agree,Sufficient,Strongly disagree,Satisfied,Neutral,Better canteen food needed,Well,Positive,Disagree,Well,Strongly disagree,Highly satisfied,1,Better career guidance
19/12/2025 08:16:08,Ayush Pandey,100039,JNV VARANASI,10 th,6,More than 4 Hrs,Physics,Not Applicable,"Hindi, Business Studies","Biology, Science","Chemistry, Hindi","Chemistry, Biology",English,Neutral,School only,Excellent,Agree,Need more practice problems,Strongly disagree,Neutral,Neutral,Very satisfied,Disagree,Need better labs,Poorly,Negative,Strongly agree,Very poorly,Strongly agree,Extremely dissatisfied,1,Better career guidance
13/01/2025 21:59:08,Priya Mehta,100040,JNV VARANASI,11th,10,<2 Hrs,Social Science,Biology,"Biology, Hindi","Chemistry, Social Science","Accountancy, Biology","Physics, Hindi",Maths,Agree,Internet materials,Excellent,Strongly agree,"Our computer science teacher is very patient and explains programming concepts clearly. However, we have very limited computer access and have to share systems during practicals. This makes it difficult to practice coding properly. I hope the school can provide more computers for the lab.",Neutral,Insufficient,Strongly agree,Neutral,Disagree,"I appreciate the recent addition of smart classrooms with projectors and interactive boards. These have made learning much more engaging and interesting. However, technical issues are common and sometimes entire classes are wasted due to equipment problems. Better maintenance support is needed.",Very poorly,Neutral,Strongly disagree,Poorly,Agree,Not satisfied,2,Better facilities
31/12/2025 21:36:08,Amit Yadav,100041,JNV VARANASI,12th,8,2-3 Hrs,Social Science,Not Applicable,"Science, Social Science","Accountancy, Biology","Other, Physics","Social Science, Hindi",Social Science,Neutral,Coaching from existing faculty,Excellent,Strongly agree,"The science teacher makes learning very interesting with experiments and real-life examples. However, I think we need more practical lab sessions to really understand the concepts. Sometimes the theory classes can get boring without any hands-on activities. I suggest having at least two lab sessions per week instead of one.",Disagree,Very sufficient,Strongly agree,Very dissatisfied,Strongly disagree,Improve library,Poorly,Neutral,Agree,Very well,Strongly agree,Not satisfied,2,Everything good
21/01/2026 07:09:08,Rohit Yadav,100042,JNV VARANASI,7 th,5,More than 4 Hrs,Other,Biology,"Other, Business Studies","Social Science, English","English, Accountancy","Economics, Biology",Chemistry,Strongly agree,Online coaching,Good,Strongly agree,No concerns,Strongly disagree,Very sufficient,Agree,Satisfied,Neutral,No concerns,Poorly,Strongly positive,Strongly agree,Poorly,Agree,Extremely dissatisfied,3,"I recommend that the school starts a student council with real decision-making powers. Currently, decisions about school events and policies are made without any student input. Involving students in planning would make us more responsible and ensure that our needs are considered."
03/01/2026 20:17:08,Vivek Srivastava,100043,JNV VARANASI,10 th,7,<2 Hrs,Science,Not Applicable,"IT/CS, Biology","Other, Biology","IT/CS, Science","Chemistry, Science",Physics,Agree,Coaching from existing faculty,Very poor,Strongly agree,Need more examples,Agree,Insufficient,Strongly disagree,Very dissatisfied,Agree,"The school cafeteria food quality has been declining over the past few months. The meals are often repetitive and not very nutritious. As students who spend most of our day at school, we need proper healthy food to stay focused during classes. I request the management to look into improving the food quality.",Adequately,Neutral,Neutral,Very poorly,Disagree,Somewhat satisfied,2,Improve labs
16/10/2025 00:38:08,Nisha Sharma,100044,JNV VARANASI,10 th,8,<2 Hrs,Biology,Maths,"Business Studies, Social Science","Social Science, Physics","Hindi, Biology","Biology, Other",Social Science,Strongly disagree,Coaching from existing faculty,Excellent,Neutral,Need more explanation,Disagree,Insufficient,Agree,Dissatisfied,Agree,No concerns,Poorly,Neutral,Strongly agree,Very poorly,Strongly agree,Somewhat satisfied,4,Reduce pressure
04/01/2025 15:24:08,Riya Saxena,100045,JNV VARANASI,10 th,10,3-4 Hrs,English,Biology,"Science, Economics","Physics, IT/CS","Physics, Business Studies","IT/CS, Chemistry",Accountancy,Strongly disagree,Coaching from outside faculty,Excellent,Agree,Need more explanation,Neutral,Insufficient,Strongly disagree,Dissatisfied,Strongly disagree,"I feel that our school should focus more on environmental awareness and sustainability practices. We could start with basic things like proper waste segregation, reducing plastic usage, and planting more trees in the campus. This would teach students important values while making our school more eco-friendly.",Poorly,Strongly negative,Disagree,Very well,Disagree,Satisfied,5,Better facilities
09/09/2025 07:26:08,Nitin Jain,100046,JNV VARANASI,7 th,7,2-3 Hrs,Other,IT/CS,"Chemistry, Science","Physics, Economics","Science, IT/CS","Economics, Business Studies",Chemistry,Disagree,Coaching from outside faculty,Excellent,Strongly agree,No concerns,Disagree,Neutral,Strongly agree,Dissatisfied,Neutral,Improve transport,Poorly,Neutral,Disagree,Poorly,Agree,Not satisfied,4,Reduce pressure
05/05/2025 10:05:08,Vivek Pandey,100047,JNV VARANASI,11th,7,2-3 Hrs,Physics,IT/CS,"Business Studies, Physics","Other, IT/CS","Physics, Other","Physics, Social Science",Economics,Disagree,Online coaching,Excellent,Strongly disagree,Improve punctuality,Neutral,Neutral,Strongly agree,Satisfied,Neutral,Improve library,Very well,Positive,Disagree,Poorly,Agree,Extremely dissatisfied,4,More sports events
